,postalcode,price,year,area,rooms,type
145716,112,50000000,1989,119,2,0
145718,104,58500000,1955,109,3,0
145720,101,80000000,1933,144,3,1
145721,203,61300000,2005,108,2,0
145722,201,99800000,1996,194,4,1
145723,116,56000000,2005,236,4,2
145724,105,62000000,1955,106,3,0
145725,103,50150000,2007,101,2,0
145726,200,40400000,1976,72,1,0
145727,210,53900000,2020,93,2,0
145728,203,68700000,2006,141,3,0
145729,107,50000000,1939,78,2,0
145730,101,165000000,1945,367,8,0
145733,221,43900000,2020,81,2,0
145734,101,54000000,1964,88,3,0
145738,200,40700000,1960,64,1,0
145739,104,71000000,1955,163,4,1
145740,210,143000000,1980,314,7,2
145741,105,42500000,1957,82,2,0
145742,110,47900000,2020,79,1,0
145743,110,49900000,2020,77,2,0
145758,190,38500000,2019,99,3,0
145759,640,16900000,1970,58,2,0
145762,603,21300000,1978,60,1,0
145763,245,33000000,2020,87,3,1
145764,112,59000000,2000,119,3,0
145766,101,36000000,1924,60,1,0
145767,730,40000000,1979,234,4,2
145768,200,39500000,1984,62,1,0
145772,800,27000000,1976,77,1,0
145774,105,43900000,1942,77,1,0
145775,300,24990000,2020,47,1,0
145776,600,37950000,2020,81,2,0
145777,800,43500000,2017,94,2,1
145778,300,45600000,2020,105,2,0
145779,603,20800000,1979,69,1,0
145784,220,45000000,1989,93,2,0
145788,105,36000000,1942,70,2,0
145789,220,39000000,1984,81,1,0
145790,200,38000000,1979,97,3,0
145792,210,114000000,1957,222,4,2
145795,111,33300000,1971,77,2,0
145796,107,52000000,1957,111,2,0
145799,203,59000000,2007,133,3,0
145800,203,142000000,2005,325,5,2
145801,108,44500000,1970,85,3,0
145802,109,35900000,1968,80,1,0
145803,203,83000000,2008,204,3,0
145806,300,28400000,1980,68,1,0
145809,260,29900000,2020,74,2,0
145810,230,24000000,1945,65,1,0
145811,900,9000000,1947,74,2,0
145815,240,49000000,1981,177,3,2
145816,230,55200000,1999,182,3,1
145817,600,44200000,1988,89,2,0
145818,600,31000000,1970,110,3,0
145820,109,29900000,1968,70,1,0
145821,810,28000000,2018,59,1,0
145822,109,29900000,1968,70,1,0
145823,105,61000000,1957,135,2,0
145824,220,46000000,1991,117,3,0
145825,800,25400000,1976,77,1,0
145828,201,62200000,2020,103,2,0
145829,200,46900000,2020,70,1,0
145830,200,41900000,2020,68,1,0
145831,200,40400000,2020,61,1,0
145832,200,39900000,2020,59,1,0
145833,200,38900000,2020,59,1,0
145834,200,47900000,2020,70,2,0
145835,109,77500000,1980,197,4,1
145836,105,96000000,2020,120,2,0
145837,270,46100000,2020,82,2,0
145838,105,30900000,1957,46,1,0
145839,604,69500000,2019,182,4,1
145841,200,40000000,1960,53,1,0
145842,105,45000000,1955,116,2,0
145844,800,52600000,2017,120,2,1
145845,800,79000000,2005,208,4,2
145846,220,56000000,1999,134,3,0
145850,112,40000000,1990,80,2,0
145851,109,37800000,1976,128,3,0
145852,220,43250000,1991,107,3,0
145856,109,35000000,1970,97,3,0
145857,603,27500000,2004,93,2,0
145860,201,69500000,2017,130,3,0
145863,107,65000000,1973,125,3,0
145865,201,55000000,1993,107,3,0
145866,110,84000000,1980,337,7,1
145867,600,42500000,1964,147,3,0
145870,800,91000000,1965,268,3,0
145871,800,91000000,1965,268,2,0
145872,260,31900000,2019,80,2,0
145874,102,51000000,2020,74,2,0
145875,107,54900000,1945,97,2,0
145876,102,54275000,2020,88,2,0
145878,270,128000000,2017,407,7,2
145879,220,32200000,1959,69,2,0
145881,780,30000000,1974,114,5,0
145884,108,61250000,1961,124,3,1
145885,230,47900000,2020,110,3,0
145886,170,44900000,1958,74,2,0
145887,270,76500000,1979,285,6,1
145888,200,29600000,1971,44,1,0
145889,815,23900000,2020,61,1,0
145893,108,135500000,1961,321,6,2
145895,600,30000000,1989,67,1,0
145896,600,31000000,2016,67,1,0
145899,105,40700000,1960,73,2,0
145902,250,34000000,1940,155,3,1
145903,260,39000000,2020,97,2,0
145904,260,38000000,2020,97,2,0
145905,210,47500000,2004,79,1,0
145906,108,46800000,1993,77,2,0
145907,221,48000000,2020,89,2,0
145908,221,40000000,2016,63,1,0
145909,104,46300000,1961,107,2,0
145911,240,40500000,1973,153,4,2
145912,210,108000000,1983,357,7,2
145913,225,101000000,1977,204,4,2
145914,221,53900000,2002,122,2,0
145915,262,27600000,1970,95,2,0
145916,260,37500000,2020,97,2,0
145917,260,38500000,2020,97,2,0
145918,260,38500000,2020,97,2,0
145919,260,38500000,2020,97,2,0
145920,230,34500000,1945,126,5,2
145921,107,31500000,1989,44,1,0
145923,105,80000000,1957,163,3,0
145924,108,47900000,2019,71,1,0
145925,200,135000000,2020,204,3,0
145926,105,47900000,2020,64,1,0
145927,262,27100000,1970,98,2,0
145929,262,27500000,1970,95,2,0
145930,109,33000000,1970,88,2,0
145931,103,169000000,2018,341,5,1
145934,201,59200000,2017,122,2,0
145935,104,67500000,1946,125,1,0
145936,107,37300000,1969,63,1,0
145937,101,32500000,1936,64,1,0
145939,210,67000000,1984,108,3,0
145942,105,29000000,1941,123,3,0
145943,270,45290000,2020,81,2,0
145944,107,57600000,1983,100,3,0
145947,200,59500000,1990,145,3,0
145949,201,60000000,1996,139,3,0
145950,101,49900000,1933,102,3,0
145951,111,44000000,1975,106,2,0
145953,110,58000000,2018,111,3,0
145955,262,34900000,1969,184,4,0
145956,230,18900000,1948,61,1,0
145957,825,42000000,2008,165,3,1
145958,262,15900000,1956,45,1,0
145959,262,14900000,1956,43,1,0
145961,900,11000000,1955,236,7,2
145963,240,51500000,1977,176,4,2
145964,240,34500000,2004,96,2,0
145965,105,56000000,1955,131,4,0
145966,107,38600000,1979,58,1,0
145967,210,63900000,2020,110,3,0
145968,112,47400000,1995,119,3,0
145975,200,48900000,2020,80,2,0
145976,200,39900000,2020,58,1,0
145979,221,43500000,2020,83,2,0
145980,221,44900000,2020,82,2,0
145981,270,46300000,2020,80,2,0
145982,220,46700000,1989,113,3,0
145984,210,74000000,2016,141,3,0
145985,107,65000000,1982,123,5,0
145986,201,55500000,1997,125,3,0
145987,851,30000000,1980,359,6,2
145988,203,67000000,2014,112,2,0
145989,200,46900000,1979,78,2,0
145993,262,15900000,1956,43,1,0
145994,220,44400000,2007,70,1,0
145995,221,43500000,2006,87,2,0
145997,220,46300000,1958,99,2,0
145998,604,65000000,2019,182,4,1
145999,620,23600000,1997,70,2,0
146000,300,41200000,2007,125,3,0
146001,109,35200000,1970,80,2,0
146002,105,34000000,1928,54,1,0
146003,270,56400000,2020,110,3,0
146004,660,19200000,1967,85,3,2
146005,220,39600000,1971,92,2,0
146006,101,41500000,1989,101,3,0
146007,113,44300000,2002,78,2,0
146008,760,11400000,1985,108,4,2
146009,735,25000000,1944,233,5,2
146010,730,28500000,1988,105,2,2
146012,225,68400000,2000,129,2,1
146014,800,44000000,2001,99,2,1
146016,262,24300000,1978,93,2,0
146017,240,56000000,1948,295,6,0
146023,230,50500000,1977,170,3,1
146024,108,38400000,1951,62,1,0
146025,201,42750000,2018,64,1,0
146028,230,17000000,1976,66,2,0
146032,105,76000000,1950,169,3,0
146033,210,58900000,2020,101,2,0
146034,200,62000000,2020,113,2,0
146035,210,63900000,2020,124,3,0
146036,105,44900000,1947,92,2,0
146037,113,41050000,2018,68,1,0
146038,300,24990000,2020,47,1,0
146040,270,37000000,1984,91,2,0
146041,210,63600000,2006,103,2,0
146043,102,97000000,1976,254,4,0
146048,111,44000000,1974,101,3,0
146051,201,72800000,2020,140,3,0
146052,108,73200000,1963,161,3,0
146053,101,41400000,1929,68,1,0
146055,310,20000000,1975,74,2,0
146056,210,68500000,1967,115,1,1
146057,200,41900000,2020,64,1,0
146058,200,46900000,2020,69,2,0
146059,200,35900000,2020,52,1,0
146060,108,30000000,1949,55,1,0
146061,203,51300000,2006,105,2,0
146062,110,72000000,2005,160,4,0
146063,210,210000000,2007,313,5,2
146064,200,65800000,2019,129,3,0
146065,270,32076000,2016,163,4,1
146066,113,53300000,2003,124,3,0
146067,203,106000000,2007,239,4,1
146068,112,43700000,1985,99,2,0
146069,112,95000000,1985,193,3,2
146070,200,56400000,2020,105,2,0
146071,221,53500000,2020,109,3,0
146072,221,52500000,2020,108,3,0
146074,200,42800000,1973,103,3,0
146076,112,44000000,1993,89,2,0
146077,170,117000000,1982,262,6,0
146078,108,49500000,2019,79,1,0
146079,112,56600000,1993,122,3,0
146081,102,117000000,1929,235,5,2
146083,260,29370000,2020,74,2,0
146084,260,28900000,2020,72,2,0
146085,262,19750000,1956,58,1,0
146086,221,59000000,2008,122,3,0
146087,221,80000000,2007,199,4,2
146088,109,33200000,1972,68,3,0
146090,111,34000000,1973,73,2,0
146091,109,37500000,1975,99,1,0
146092,104,14750000,1950,50,1,0
146093,104,28500000,1950,137,3,0
146094,104,52900000,1953,126,3,0
146105,800,37000000,2019,81,1,0
146107,210,129000000,1992,207,4,2
146108,200,46000000,1973,87,2,0
146109,105,52000000,1957,121,2,0
146110,600,37000000,2018,88,3,0
146111,860,23500000,2020,63,1,1
146112,103,47000000,2016,67,1,0
146113,210,51650000,2020,89,2,0
146114,104,126000000,1960,241,5,2
146115,221,41250000,2003,78,2,0
146117,107,48500000,1958,80,2,0
146118,110,93000000,1986,224,5,2
146119,221,42000000,2006,85,2,0
146120,200,58000000,1984,187,2,0
146121,105,68850000,2019,111,2,0
146122,200,70000000,2013,108,2,0
146123,112,58800000,1988,130,3,0
146124,113,51500000,2016,89,2,0
146126,108,49900000,2019,82,1,0
146127,221,57000000,2001,139,2,0
146128,300,31840000,2020,60,1,0
146129,300,39900000,2020,79,1,0
146130,600,50000000,2006,107,2,0
146131,600,59500000,1976,170,4,1
146132,600,53000000,1976,143,4,1
146133,270,44900000,2020,80,2,0
146134,240,40500000,1965,161,3,2
